2'li Ana grup kodu;HBS_KOD5;tŸr;Grup adÝ
5;5130;DÜÚER;MOBÜLYA, MEFRUÞAT VE YER D…ÞEMELERÜNÜN ONARIMI
5;5201;DÜÚER;D…ÞEMELÜK KUMAÞLAR VE PERDELER
5;5202;DÜÚER;YATAK TAKIMLARI
5;5203;DÜÚER;MASA …RT†LERÜ VE BANYO …RT†LERÜ
5;5204;DÜÚER;EV TEKSTÜLLERÜNÜN ONARIMI
5;5209;DÜÚER;DÜÚER EV TEKSTÜLLERÜ
5;5311;DÜÚER;BUZDOLAPLARI, DONDURUCULAR VE DERÜN DONDURUCULAR
5;5312;DÜÚER;‚AMAÞIR YIKAMA MAKÜNELERÜ, ‚AMAÞIR KURUTMA MAKÜNELERÜ VE BULAÞIK YIKAMA MAKÜNELERÜ
5;5313;DÜÚER;FIRINLAR
5;5314;DÜÚER;ISITICILAR, KLÜMALAR
5;5315;DÜÚER;TEMÜZLÜK EKÜPMANI
5;5319;DÜÚER;DÜÚER B†Y†K EV ALETLERÜ
5;5321;DÜÚER;GIDA ÜÞLEME ALETLERÜ
5;5322;DÜÚER;KAHVE MAKÜNELERÜ, ‚AY MAKÜNELERÜ VE BENZERÜ ALETLER
5;5323;DÜÚER;†T†LER
5;5324;DÜÚER;EKMEK KIZARTMA MAKÜNELERÜ VE IZGARALAR
5;5329;DÜÚER;DÜÚER ELEKTRÜKLÜ K†‚†K EV ALETLERÜ
5;5330;DÜÚER;EV ALETLERÜNÜN TAMÜRÜ
