2'li Ana grup kodu;HBS_KOD5;tr;Grup ad
11;11202;D˜¦ER;TAT˜L MERKEZLER˜, KAMP ALANLARI, GEN€L˜K HOSTELLER˜ VE BENZER˜ YERLERDEK˜ KONAKLAMA H˜ZMETLER˜
11;11203;D˜¦ER;D˜¦ER ˜žLETMELERDEK˜ KONAKLAMA H˜ZMETLER˜
12;12111;D˜¦ER;ERKEKLER VE €OCUKLAR ˜€˜N BERBERL˜K (KUAF™RLšK) H˜ZMETLER˜
12;12112;D˜¦ER;KADINLAR ˜€˜N KUAF™RLšK H˜ZMETLER˜
12;12113;D˜¦ER;K˜ž˜SEL BAKIM H˜ZMETLER˜
12;12121;D˜¦ER;K˜ž˜SEL BAKIMDA KULLANILAN ELEKTR˜KL˜ ALETLER
12;12122;D˜¦ER;K˜ž˜SEL BAKIMDA KULLANILAN ELEKTR˜KL˜ ALETLER˜N ONARIMI
12;12131;D˜¦ER;ELEKTR˜KL˜ OLMAYAN ALETLER
12;12132;D˜¦ER;K˜ž˜SEL TEM˜ZL˜K VE SA¦LIK ˜€˜N KULLANILAN šRšNLER, EZOTER˜K šRšNLER VE GšZELL˜K šRšNLER˜
12;12200;D˜¦ER;GENELEV VB. YERLERDE VER˜LEN H˜ZMETLER
12;12311;D˜¦ER;MšCEVHERAT
12;12312;D˜¦ER;SAAT VE KOL SAATLER˜
12;12313;D˜¦ER;MšCEVHERAT, SAAT VE KOL SAATLER˜N˜N ONARIMI
12;12321;D˜¦ER;SEYAHAT EžYALARI
12;12322;D˜¦ER;BEBEK EžYALARI
12;12323;D˜¦ER;D˜¦ER K˜ž˜SEL EžYALARIN ONARIMI
12;12329;D˜¦ER;BAžKA YERDE SINIFLANDIRILMAMIž D˜¦ER K˜ž˜SEL EžYALAR
12;12401;D˜¦ER;€OCUK BAKIM H˜ZMETLER˜
12;12402;D˜¦ER;YAžLILAR ˜€˜N HUZUREVLER˜, ENGELL˜LER ˜€˜N KALACAK YERLER
12;12403;D˜¦ER;˜NSANLARA KEND˜ EVLER˜NDE SUNULAN BAKIM H˜ZMETLER˜
12;12404;D˜¦ER;DANIžMANLIK H˜ZMETLER˜
12;12510;D˜¦ER;HAYAT S˜GORTASI
12;12520;D˜¦ER;KONUT S˜GORTASI
12;12531;D˜¦ER;KAMU SA¦LIK S˜GORTASI
12;12532;D˜¦ER;™ZEL SA¦LIK S˜GORTASI
12;12541;D˜¦ER;MOTORLU TAžIT S˜GORTASI
12;12542;D˜¦ER;SEYAHAT S˜GORTASI
12;12550;D˜¦ER;D˜¦ER S˜GORTALAR
12;12610;D˜¦ER;FISIM (DOLAYLI ™L€šLEN MAL˜ ARACILIK H˜ZMETLER˜)
12;12621;D˜¦ER;BANKALAR VE POSTANELERE YAPILAN ™DEMELER
12;12622;D˜¦ER;YATIRIM DANIžMANLARININ, BORSA S˜MSARLARININ (BROKERLER˜N) šCRETLER˜ VE H˜ZMET BEDELLER˜
12;12701;D˜¦ER;˜DAR˜ H˜ZMETLER˜N šCRETLER˜
12;12702;D˜¦ER;HUKUK˜ H˜ZMETLER VE MUHASEBE
12;12703;D˜¦ER;CENAZE H˜ZMETLER˜
